name,slug,full_name,type,publisher,description,source,popularity,star_count,pull_count,filter_type,certification_status,categories,operating_systems,architectures,logo_url,created_at,updated_at
Windows base OS images,microsoft-windows-base-os-images,Microsoft/microsoft-windows-base-os-images,image,Microsoft,Product family for all Windows base OS container images,publisher,1134293415,0,0,nan,not_certified,['Base Images'],['Linux'],['x86-64'],https://mcrflowpublic.blob.core.windows.net/assets/Microsoft_logo.svg,2018-11-27 04:52:14.129981+00:00,2022-04-13 02:28:59.163440+00:00
Windows Server Core,microsoft-windows-servercore,Microsoft/microsoft-windows-servercore,image,Microsoft,The official Windows Server Core base image for containers,publisher,587010244,0,0,nan,not_certified,['Base Images'],['Linux'],['x86-64'],https://mcrflowpublic.blob.core.windows.net/assets/Microsoft_logo.svg,2018-11-30 21:33:55.584313+00:00,2022-04-13 02:28:59.054090+00:00
Nano Server,microsoft-windows-nanoserver,Microsoft/microsoft-windows-nanoserver,image,Microsoft,The official Nano Server base image for containers,publisher,539146631,0,0,nan,not_certified,['Base Images'],['Linux'],['x86-64'],https://mcrflowpublic.blob.core.windows.net/assets/Microsoft_logo.svg,2018-11-29 17:26:14.311143+00:00,2022-04-13 02:28:58.981136+00:00
.NET Core,microsoft-dotnet-core,Microsoft/microsoft-dotnet-core,image,Microsoft,Official images for .NET Core 3.1 and ASP.NET Core 3.1,publisher,279330629,0,0,nan,not_certified,"['Application Frameworks', 'Programming Languages']",['Linux'],['x86-64'],https://raw.githubusercontent.com/dotnet/brand/master/logo/dotnet-logo.png,2019-02-26 21:31:35.258060+00:00,2022-04-13 02:28:55.315394+00:00
.NET,microsoft-dotnet,Microsoft/microsoft-dotnet,image,Microsoft,Official images for .NET and ASP.NET Core,publisher,258250089,0,0,nan,not_certified,"['Application Frameworks', 'Programming Languages']",['Linux'],['x86-64'],https://raw.githubusercontent.com/dotnet/brand/master/logo/dotnet-logo.png,2020-05-13 09:21:57.246732+00:00,2022-04-13 02:28:55.493136+00:00
.NET Core (Preview),microsoft-dotnet-core-nightly,Microsoft/microsoft-dotnet-core-nightly,image,Microsoft,Preview images for .NET Core 3.1 and ASP.NET Core 3.1,publisher,207260057,0,0,nan,not_certified,"['Application Frameworks', 'Programming Languages']",['Linux'],['x86-64'],https://raw.githubusercontent.com/dotnet/brand/master/logo/dotnet-logo.png,2019-01-30 21:04:25.602594+00:00,2022-04-13 02:28:55.188558+00:00
Azure Functions,microsoft-azure-functions,Microsoft/microsoft-azure-functions,image,Microsoft,Official images for Azure Functions,publisher,202331265,0,0,nan,not_certified,['Base Images'],['Linux'],['x86-64'],https://mcrflowprodcentralus.blob.core.windows.net/defaultlogo/Microsoft_logo.svg?sp=r&st=2019-01-19T00:10:26Z&se=2033-11-04T07:10:26Z&spr=https&sv=2018-03-28&sig=dRn%2BJsqcKwsVdAMcdkzPAbydqSC%2BzBS9BwJUI9AflR4%3D&sr=b,2020-06-04 20:37:20.935966+00:00,2022-04-13 02:28:52.976504+00:00
.NET Framework,microsoft-dotnet-framework,Microsoft/microsoft-dotnet-framework,image,Microsoft,"Official images for the .NET Framework, ASP.NET, and Windows Communication Framework (WCF)",publisher,166458767,0,0,nan,certified,"['Application Frameworks', 'Programming Languages']",['Linux'],['x86-64'],https://raw.githubusercontent.com/dotnet/brand/master/logo/dotnet-logo.png,2019-03-19 19:27:37.769595+00:00,2022-04-13 02:28:55.707604+00:00
ASP.NET,microsoft-dotnet-framework-aspnet,Microsoft/microsoft-dotnet-framework-aspnet,image,Microsoft,Official images for ASP.NET,publisher,150871789,0,0,nan,not_certified,['Application Frameworks'],['Linux'],['x86-64'],https://raw.githubusercontent.com/dotnet/brand/master/logo/dotnet-logo.png,2018-12-06 17:43:35.995103+00:00,2022-04-13 02:28:55.547351+00:00
Azure Functions Python,microsoft-azure-functions-python,Microsoft/microsoft-azure-functions-python,image,Microsoft,Azure Functions python image,publisher,143466931,0,0,nan,not_certified,['Base Images'],['Linux'],['x86-64'],https://mcrflowprodcentralus.blob.core.windows.net/defaultlogo/Microsoft_logo.svg?sp=r&st=2019-01-19T00:10:26Z&se=2033-11-04T07:10:26Z&spr=https&sv=2018-03-28&sig=dRn%2BJsqcKwsVdAMcdkzPAbydqSC%2BzBS9BwJUI9AflR4%3D&sr=b,2018-12-06 17:46:43.968132+00:00,2022-04-13 02:28:52.864497+00:00
.NET Runtime,microsoft-dotnet-runtime,Microsoft/microsoft-dotnet-runtime,image,Microsoft,Official images for the .NET runtime,publisher,127087860,0,0,nan,not_certified,['Application Frameworks'],['Linux'],['x86-64'],https://raw.githubusercontent.com/dotnet/brand/master/logo/dotnet-logo.png,2020-05-11 15:54:54.903494+00:00,2022-04-13 02:28:55.393906+00:00
ASP.NET Core 3.1 Runtime,microsoft-dotnet-core-aspnet,Microsoft/microsoft-dotnet-core-aspnet,image,Microsoft,Official images for the ASP.NET Core 3.1 runtime,publisher,124391499,0,0,nan,not_certified,['Application Frameworks'],['Linux'],['x86-64'],https://raw.githubusercontent.com/dotnet/brand/master/logo/dotnet-logo.png,2020-04-24 04:26:26.334401+00:00,2022-04-13 02:28:55.218402+00:00
Dynamics 365 Business Central Sandbox,microsoft-businesscentral-sandbox,Microsoft/microsoft-businesscentral-sandbox,image,Microsoft,Dynamics 365 Business Central,publisher,119995238,0,0,nan,not_certified,['Base Images'],['Linux'],['x86-64'],https://bcdocker.blob.core.windows.net/public/BC_Neg_128x.png,2018-12-06 17:45:29.549668+00:00,2021-09-03 04:18:52.909095+00:00
ASP.NET Core Runtime,microsoft-dotnet-aspnet,Microsoft/microsoft-dotnet-aspnet,image,Microsoft,Official images for the ASP.NET Core runtime,publisher,112110753,0,0,nan,not_certified,['Application Frameworks'],['Linux'],['x86-64'],https://raw.githubusercontent.com/dotnet/brand/master/logo/dotnet-logo.png,2021-11-09 21:37:38.963155+00:00,2022-04-13 02:28:55.341752+00:00
containernetworking,microsoft-containernetworking,Microsoft/microsoft-containernetworking,image,Microsoft,Product family for all container networking images,publisher,107861270,0,0,nan,not_certified,['Base Images'],['Linux'],['x86-64'],https://upload.wikimedia.org/wikipedia/commons/4/44/Microsoft_logo.svg,2019-05-01 17:38:48.677966+00:00,2022-04-13 02:28:54.952018+00:00
.NET Core Runtime,microsoft-dotnet-core-runtime,Microsoft/microsoft-dotnet-core-runtime,image,Microsoft,Official images for the .NET Core 3.1 runtime,publisher,101973508,0,0,nan,not_certified,['Application Frameworks'],['Linux'],['x86-64'],https://raw.githubusercontent.com/dotnet/brand/master/logo/dotnet-logo.png,2020-04-24 04:26:22.222639+00:00,2022-04-13 02:28:55.244353+00:00
Azure CLI,microsoft-azure-cli,Microsoft/microsoft-azure-cli,image,Microsoft,Our next generation multi-platform command line experience for Azure.,publisher,99652582,0,0,nan,not_certified,['Base Images'],['Linux'],['x86-64'],https://docs.microsoft.com/en-us/azure/media/index/azure_dev-7.svg,2019-10-30 01:51:36.390369+00:00,2022-04-13 02:28:51.936551+00:00
Azure-npm,microsoft-containernetworking-azure-npm,Microsoft/microsoft-containernetworking-azure-npm,image,Microsoft,Azure Network Policy Manager,publisher,89068901,0,0,nan,not_certified,['Base Images'],['Linux'],['x86-64'],https://upload.wikimedia.org/wikipedia/commons/4/44/Microsoft_logo.svg,2020-12-03 00:28:09.693392+00:00,2022-04-13 02:28:54.876563+00:00
Mcr Hello World,microsoft-mcr-hello-world,Microsoft/microsoft-mcr-hello-world,image,Microsoft,Hello World! (an example of minimal Dockerization).,publisher,85531768,0,0,nan,not_certified,['Monitoring'],['Linux'],['x86-64'],https://mcrflowpublic.blob.core.windows.net/assets/Microsoft_logo.svg,2018-12-04 23:59:00.406219+00:00,2022-04-13 02:28:57.637608+00:00
ACI Hello World,microsoft-azuredocs-aci-helloworld,Microsoft/microsoft-azuredocs-aci-helloworld,image,Microsoft,A simple Node.js web application used in Azure Container Instances for docs.microsoft.com.,publisher,70742980,0,0,nan,not_certified,['Base Images'],['Linux'],['x86-64'],https://mcrflowprodcentralus.blob.core.windows.net/defaultlogo/Microsoft_logo.svg?sp=r&st=2019-01-19T00:10:26Z&se=2033-11-04T07:10:26Z&spr=https&sv=2018-03-28&sig=dRn%2BJsqcKwsVdAMcdkzPAbydqSC%2BzBS9BwJUI9AflR4%3D&sr=b,2019-03-15 21:49:25.598320+00:00,2022-04-13 02:28:52.146262+00:00
Microsoft SQL Server,microsoft-mssql-server,Microsoft/microsoft-mssql-server,image,Microsoft,Official images for Microsoft SQL Server on Linux for Docker Engine.,publisher,62348146,0,0,nan,not_certified,"['Databases', 'Security', 'Storage']",['Linux'],['x86-64'],https://mcrflowprodcentralus.blob.core.windows.net/defaultlogo/Microsoft_logo.svg?sp=r&st=2019-01-19T00:10:26Z&se=2033-11-04T07:10:26Z&spr=https&sv=2018-03-28&sig=dRn%2BJsqcKwsVdAMcdkzPAbydqSC%2BzBS9BwJUI9AflR4%3D&sr=b,2018-12-04 23:30:41.550446+00:00,2022-04-13 02:28:58.749697+00:00
.NET Core Runtime (Preview),microsoft-dotnet-core-nightly-runtime,Microsoft/microsoft-dotnet-core-nightly-runtime,image,Microsoft,Preview images for the .NET Core 3.1 runtime,publisher,52246797,0,0,nan,not_certified,['Application Frameworks'],['Linux'],['x86-64'],https://raw.githubusercontent.com/dotnet/brand/master/logo/dotnet-logo.png,2020-04-28 20:44:33.093529+00:00,2022-04-13 02:28:55.113405+00:00
.NET Core SDK (Preview),microsoft-dotnet-core-nightly-sdk,Microsoft/microsoft-dotnet-core-nightly-sdk,image,Microsoft,Preview images for the .NET Core 3.1 SDK,publisher,52096072,0,0,nan,not_certified,['Programming Languages'],['Linux'],['x86-64'],https://raw.githubusercontent.com/dotnet/brand/master/logo/dotnet-logo.png,2020-04-28 20:44:39.483994+00:00,2022-04-13 02:28:55.161335+00:00
ASP.NET Core 3.1 Runtime (Preview),microsoft-dotnet-core-nightly-aspnet,Microsoft/microsoft-dotnet-core-nightly-aspnet,image,Microsoft,Preview images for the ASP.NET Core 3.1 runtime,publisher,52017345,0,0,nan,not_certified,['Application Frameworks'],['Linux'],['x86-64'],https://raw.githubusercontent.com/dotnet/brand/master/logo/dotnet-logo.png,2020-04-28 20:43:23.918991+00:00,2022-04-13 02:28:55.085758+00:00
.NET Core Runtime Dependencies (Preview),microsoft-dotnet-core-nightly-runtime-deps,Microsoft/microsoft-dotnet-core-nightly-runtime-deps,image,Microsoft,Preview images for the .NET Core 3.1 runtime dependencies,publisher,50899843,0,0,nan,not_certified,['Application Frameworks'],['Linux'],['x86-64'],https://raw.githubusercontent.com/dotnet/brand/master/logo/dotnet-logo.png,2020-04-29 14:01:04.342544+00:00,2022-04-13 02:28:55.136453+00:00
ASP.NET Core Runtime (Preview),microsoft-dotnet-nightly-aspnet,Microsoft/microsoft-dotnet-nightly-aspnet,image,Microsoft,Preview images for the ASP.NET Core runtime,publisher,48992097,0,0,nan,not_certified,['Application Frameworks'],['Linux'],['x86-64'],https://raw.githubusercontent.com/dotnet/brand/master/logo/dotnet-logo.png,2020-09-24 19:10:44.629522+00:00,2022-04-13 02:28:55.735213+00:00
.NET Runtime (Preview),microsoft-dotnet-nightly-runtime,Microsoft/microsoft-dotnet-nightly-runtime,image,Microsoft,Preview images for the .NET runtime,publisher,48956102,0,0,nan,not_certified,['Application Frameworks'],['Linux'],['x86-64'],https://raw.githubusercontent.com/dotnet/brand/master/logo/dotnet-logo.png,2021-01-22 14:59:21.347678+00:00,2022-04-13 02:28:55.800008+00:00
.NET SDK (Preview),microsoft-dotnet-nightly-sdk,Microsoft/microsoft-dotnet-nightly-sdk,image,Microsoft,Preview images for the .NET SDK,publisher,48892782,0,0,nan,not_certified,['Programming Languages'],['Linux'],['x86-64'],https://raw.githubusercontent.com/dotnet/brand/master/logo/dotnet-logo.png,2021-01-20 14:15:50.101840+00:00,2022-04-13 02:28:55.858556+00:00
.NET Core SDK,microsoft-dotnet-core-sdk,Microsoft/microsoft-dotnet-core-sdk,image,Microsoft,Official images for the .NET Core 3.1 SDK,publisher,48726630,0,0,nan,not_certified,['Programming Languages'],['Linux'],['x86-64'],https://raw.githubusercontent.com/dotnet/brand/master/logo/dotnet-logo.png,2020-04-25 00:42:00.413419+00:00,2022-04-13 02:28:55.292558+00:00
.NET Runtime Dependencies (Preview),microsoft-dotnet-nightly-runtime-deps,Microsoft/microsoft-dotnet-nightly-runtime-deps,image,Microsoft,Preview images for the .NET runtime dependencies,publisher,48477878,0,0,nan,not_certified,['Application Frameworks'],['Linux'],['x86-64'],https://raw.githubusercontent.com/dotnet/brand/master/logo/dotnet-logo.png,2021-01-12 04:35:50.357264+00:00,2022-04-13 02:28:55.827549+00:00
Windows IIS,microsoft-windows-servercore-iis,Microsoft/microsoft-windows-servercore-iis,image,Microsoft,Microsoft IIS images,publisher,47732738,0,0,nan,not_certified,['Base Images'],['Linux'],['x86-64'],https://mcrflowprodcentralus.blob.core.windows.net/defaultlogo/Microsoft_logo.svg?sp=r&st=2019-01-19T00:10:26Z&se=2033-11-04T07:10:26Z&spr=https&sv=2018-03-28&sig=dRn%2BJsqcKwsVdAMcdkzPAbydqSC%2BzBS9BwJUI9AflR4%3D&sr=b,2018-12-06 17:44:17.532746+00:00,2022-04-13 02:28:56.170239+00:00
.NET Monitor (Preview),microsoft-dotnet-nightly-monitor,Microsoft/microsoft-dotnet-nightly-monitor,image,Microsoft,Preview images for the .NET Monitor tool,publisher,47639700,0,0,nan,not_certified,['Monitoring'],['Linux'],['x86-64'],https://raw.githubusercontent.com/dotnet/brand/master/logo/dotnet-logo.png,2020-06-02 19:52:23.835402+00:00,2022-04-13 02:28:55.769859+00:00
K8s Aad Pod Identity Nmi,microsoft-k8s-aad-pod-identity-nmi,Microsoft/microsoft-k8s-aad-pod-identity-nmi,image,Microsoft,Assign AAD Identities to kubernetes applications - Node Managed Identity(NMI) image.,publisher,42163552,0,0,nan,not_certified,['Base Images'],['Linux'],['x86-64'],https://upload.wikimedia.org/wikipedia/commons/4/44/Microsoft_logo.svg,2018-12-05 00:01:27.453084+00:00,2022-04-13 02:28:57.478643+00:00
Dynamics 365 Business Central Onprem,microsoft-businesscentral-onprem,Microsoft/microsoft-businesscentral-onprem,image,Microsoft,Dynamics 365 Business Central,publisher,30265751,0,0,nan,not_certified,['Base Images'],['Linux'],['x86-64'],https://bcdocker.blob.core.windows.net/public/BC_Neg_128x.png,2018-12-06 17:45:47.935174+00:00,2021-09-03 04:18:52.874596+00:00
Azure Functions Dotnet,microsoft-azure-functions-dotnet,Microsoft/microsoft-azure-functions-dotnet,image,Microsoft,Azure Functions dotnet image,publisher,26627371,0,0,nan,not_certified,['Base Images'],['Linux'],['x86-64'],https://mcrflowprodcentralus.blob.core.windows.net/defaultlogo/Microsoft_logo.svg?sp=r&st=2019-01-19T00:10:26Z&se=2033-11-04T07:10:26Z&spr=https&sv=2018-03-28&sig=dRn%2BJsqcKwsVdAMcdkzPAbydqSC%2BzBS9BwJUI9AflR4%3D&sr=b,2018-12-06 17:47:17.365860+00:00,2022-04-13 02:28:52.775071+00:00
Azure IoT Edge Agent,microsoft-azureiotedge-agent,Microsoft/microsoft-azureiotedge-agent,image,Microsoft,Azure IoT Edge agent is a core component of the IoT Edge runtime.,publisher,25094705,0,0,nan,not_certified,['Base Images'],['Linux'],['x86-64'],https://mcrflowprodcentralus.blob.core.windows.net/defaultlogo/Microsoft_logo.svg?sp=r&st=2019-01-19T00:10:26Z&se=2033-11-04T07:10:26Z&spr=https&sv=2018-03-28&sig=dRn%2BJsqcKwsVdAMcdkzPAbydqSC%2BzBS9BwJUI9AflR4%3D&sr=b,2018-12-05 00:13:38.407172+00:00,2022-04-13 02:28:56.819978+00:00
PowerShell,microsoft-powershell,Microsoft/microsoft-powershell,image,Microsoft,PowerShell for every system!,publisher,22848037,0,0,nan,not_certified,['Base Images'],['Linux'],['x86-64'],https://raw.githubusercontent.com/PowerShell/PowerShell/master/assets/ps_black_64.svg?sanitize=true,2018-12-04 23:30:47.587171+00:00,2022-04-13 02:28:58.281900+00:00
